0020002040200,380
0180001007300,4460
0260001006700,110
0350001006400,9700
0360004005400,5040
0370001031900,140
0380A03028100,3700
0390003003700,3690
0390003004600,2690
0400005012400,4290
0420008004400,6360
0460003003200,3120
0460003011700,5560
0490004011400,3910
0490004014400,5880
0510010009100,590
0530006000800,25730
0970001009000,550
0980005005700,1710
1130001005200,6570
1170A07028400,7070
1210001013300,5700
1210001038000,490
1230001006100,7940
1280001014500,5930
1300004000700,1640
1310007032000,4500
1780025011300,4550
1780026001600,11250
1790075036800,2710
1820005011600,690
1950030003400,4910
1950032006000,4870
2020031017700,1120
2040A15010500,3190
2060014002500,8420
2100078001100,6410
2100078003900,5290
2110068005400,1500
2140006002700,5970
2140006007500,4500
2180057012700,5140
2210019007500,1360
2240006008400,15650
2260004010700,6130
2340001006600,6050
2370003007400,650
2380005003000,2740
2450002005600,1970
2470005024500,380
5000040011400,1690
5000043027400,1100
5000044007600,540
5000045018500,8990
5000045024300,9610
5000112001300,1890
5000112017400,5250
5000124020000,500
5000201015700,30
5000301004100,6480
5000301009100,5600
5000360013200,960
5100011028300,1310
5100014005600,970
5100014006700,970
5100051040000,1100
5100052042900,1330
5100054035900,900
5100070007300,5510
5100071013200,530
5100071046000,1210
5100073017500,2400
5100081061400,1250
5100091011000,470
5100091014100,880
5100112005800,1100
5100140005000,24990
5100212015400,18230
5100360016300,550
5200170007500,160
5250007035700,2190
5250008007500,1520
5260040003200,73250
5260090005400,1280
5260120033100,2350
5280001013700,2400
5280003049800,2630
5290081004500,115930
5400031010800,15890
5400041049000,6840
5400043016800,
5400050030100,
5400071022900,
5400071028500,
5400072029200,
5500010057200,
5500113016900,
5500132004800,
5500140034000,
5500160001200,
5500172067000,
5500221008300,
5500234007000,
5500242008100,
5500280037300,
5500321011500,
5510005000300,
5600170010500,
5610001017500,
5610002046200,
5610009022400,
5700040025300,
5720009017600,
5820014039300,
5900090000800,
5900162008400,
5900210011600,
5900212006200,
5900212031200,
5900221001400,
5900222002800,
5900230038900,
5900233009200,
5900351002700,
5900360007400,
5900360019000,
5900391012600,
5900392025400,
5910008003700,
5910010018700,
5910012007400,
5910021009200,
5910022014300,
5910A07012200,600
5920003001600,
5920007016000,
5920015002800,
5920024002000,
5930008002000,
5940050026000,
5940050028100,
5950001011200,
5950001061300,
5950004019700,
5950008035400,
5950008062200,
5980061000600,
5990031009500,
5990031027900,
5990032010800,
6000093020800,
6000231024700,
6030009017200,
6030013004700,
6030025006400,
6080007013200,
6080017032600,
6080023007700,
6090015011800,
6110012007400,
6110020017900,
6120010010700,
6120050025100,
6120080046000,
6120131010900,
6210007002100,
6210007006300,
6210012004100,
6210012012200,
6210012025600,
6210018002300,
6210020002300,
6300150009200,
6410003001500,
6410004002200,
6510003006200,
6510003008600,
6510030019600,
6610002039600,
6710025008900,
